,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,NB5LGzmSiCs,Python Simplified,"If __name__ == ""__main__"" for Python Developers","If name equals main - then we run our programs! 
But do we actually understand what is __name__ , what is __main__ and most of all - why do we need to check if they match? 🤔🤔🤔
I've prepared this very special tutorial that dives deep into each component and demonstrates it thorough simple code examples. By the end of this video - you'll be able to explain this expression in your own words (!!!) as well as other terms like ""module"" and even ""top level code"" 😉

⏰ TIME STAMPS ⏰
------------------------------------------
00:00 - Intro
00:29 - What is __name__
00:59 - What is module?
01:34 - Top level code vs imported code
03:35 - What is __main__
05:08 - Find the value of __name__
05:55 - Why do we need to check if name == main
08:08 - Thanks for watching!

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

🎯 Sources 🎯
--------------------------------------
⭐ Python Documentation:
       https://docs.python.org/3/library/__main__.html

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
       flaticon.com",,2022-11-27T15:30:05Z,142743,6777,,381,PT8M47S,hd,true
1,P7NbYXCvxtA,Python Simplified,Ready for my next tutorial? #shorts #python,,,2022-11-26T19:59:50Z,12146,982,,56,PT49S,hd,false
2,1xukOX3gBE4,Python Simplified,The Three Rules of Test Driven Development #shorts #programming #coding #computerscience,,,2022-11-09T19:28:53Z,3465,230,,10,PT1M,hd,false
3,ibVSPVz2LAA,Python Simplified,Python TDD Workflow - Unit Testing Code Example for Beginners,"In this tutorial we will play the game of unit testing! 🎮🎮🎮
To do so - we will learn a brand new coding workflow, implementing a set of programming principles known as Test Driven Development.
I will introduce you to the Three Laws of TDD (also known as the Three Laws of Uncle Bob) and show how to write a piece of software unit by unit, test by test, 2 minutes at a time! ⏱️
The end result is not only a cool encryption algorithm known as Caesars Cipher - but also a series of unit tests that ensures its accuracy and reliability.
In the very end - I also have a 🏆 CHALLANGE 🏆 for you! So make sure you tune in at minute 23:10 to participate and practice your new set of skills! 💪

⭐ CLONE MY CODE ⭐
-----------------------------------------
https://app.wayscript.com/lairs/45150c67-1bd6-487b-940f-cc60bb6093de/public/

Also, please feel free to revise it and reshare your versions with the world!
Quick instructions of how to do this via Wayscript at minute 23:50

🚀 JUPYTER SYNTAX 🚀
-----------------------------------------
unittest.main(argv=[''], verbosity=2, exit=False)

📽️ RELATED TUTORIALS OF MINE 📽️
-----------------------------------------------------------------
⭐ Classes and OOP:
       https://youtu.be/f0TrMH9s-VE
⭐ Inheritance and Private Class Members:
       https://youtu.be/6c6NYPjO_rI
⭐ If __name__ == ""__main__"" for Python Developers:
       https://youtu.be/NB5LGzmSiCs
⭐ List Comprehension:
       https://youtu.be/SNq4C988FjU
⭐ Software Design and Development Exam Practice Stream:
      https://youtu.be/uDnm7nlodDk

⏰ TIMESTAMPS ⏰
-----------------------------------------
00:00 -  Intro
01:19 - Three Laws of TDD
-----------------------------------------
TEST 1 - Test Data Exists 
-----------------------------------------
02:07 - Basic syntax
03:59 - Jupyter Notebook syntax
04:30 - Assertion
06:28 - Production Code
07:32 - 2 minutes
-----------------------------------------
07:54 - Test Input Data Type
09:12 - Test Return Output
10:16 - Test Input and Output Length
11:45 - Test Input different from Output
14:28 - Test Output Data Type
15:46 - Test Caesars Cipher
20:40 - Test More Inputs
23:10 - Challenge for you!
23:50 - How to share your code via Wayscript
25:09 - Thanks for watching! :)

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

🎯 Sources 🎯
--------------------------------------
⭐ Python unittest Documentation:
       https://docs.python.org/3/library/unittest.html
⭐ Professionalism and Test-Driven Development by Robert C. Martin:
       https://ieeexplore.ieee.org/document/4163026

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
       flaticon.com",,2022-11-08T15:30:10Z,31934,1082,,103,PT25M33S,hd,true
4,YfZqVmWq33o,Python Simplified,Ready for a Spooky Halloween! #shorts  #halloween #pumpkin,,,2022-10-31T15:55:46Z,1244,59,,6,PT14S,hd,false
5,o2FVs7DEP0c,Python Simplified,Hangout Stream - What's New? What I'm Working On? Ask me anything!,"Folks, it's been a while! In this stream I will tell you where I've been, what I'm currently working on and answering your questions - whatever they may be! :)

I'm mostly testing to see how many of you are available in the afternoons (compared to my morning streams).
I'm aiming to set a specific day and time for a weekly stream - your advice will be highly appreciated! 

Also, I wasted to ask you what you think about me starting a membership program on YouTube - are you members of other channels already? do you find it adds some interesting value to your YouTube experience?
I'm generally staying away from paid content, I find it frustrating when only some of the audience gets access to certain videos - but that's just me! what do you think? are we on the same page or do you think I'm being silly? 😅

If you have any interesting questions - please leave them in the chat ahead of the stream, no particular topic - anything you'd like to ask, it's just a hangout stream rather than an informative super educational session 😉",,2022-10-22T11:42:18Z,4324,237,,18,PT1H35M57S,hd,false
6,wmalqABbkXU,Python Simplified,Get Dynamic Bitcoin Data in REAL TIME with Python - Intro to Deephaven - LINUX OS!!!,"Today we will find a SIMPLE solution to one of the most complex data science problems - working with real-time dynamic live-streaming data! 
We will learn how to fetch data directly from the Coinbase cryptocurrency exchange, we will then manipulate it, reconstruct it and even plot it! (YES! a graph that keeps MOVING CONSTANTLY as new data comes in and updated within microseconds! 😱😱😱)
And the best part is - no need to have any prior experience with web sockets or setting up your own server! 🤩

If you're wondering how it's even possible - allow me to introduce you to Deephaven! A very powerful open-core framework that made this entire process 100% beginner friendly!
Find out more on Github:  https://github.com/deephaven
(Especially if you'd like to contribute to their open-source project 😉)

Or alternatively you can checkout their website for more info:
https://deephaven.io/

⏰ TIMESTAMPS ⏰
--------------------------------------
00:00 - intro
00:55 - install Deephaven and dependencies
04:12 - quickhook vs setting up your own websocket
04:50 - Coinbase data stream overview
05:25 - basic data manipulation (drop columns)
07:04 - split data (filter rows of interest)
08:18 - highlight large volume transactions
11:31 - plot dynamic data
15:31 - extract new data features
23:00 - next steps
24:10 - thanks for watching! :)

🎥 MORE DATA SCIENCE TUTORIALS OF MINE 🎥
---------------------------------------------------------------
⭐ Pandas Basics:
       https://youtu.be/zN2Hua6oII0
⭐ Line Graph with Pandas:
       https://youtu.be/P4F3PzCMrtk
⭐ Plot Graphs with Matplotlib:
       https://youtu.be/MJ1945J_W0c

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
      flaticon.com",,2022-10-19T15:00:10Z,9851,564,,79,PT24M42S,hd,true
7,080kzsRv5UI,Python Simplified,Streaming Real Time Crypto Data Like a Pro with NO PRIOR EXPERIANCE 😱 #crypto #python #data,,,2022-10-18T19:19:48Z,5594,,,36,PT37S,hd,false
8,tZ1znMV-aXY,Python Simplified,Are you ready to apply for tech jobs? featuring Prakash from GeeksforGeeks,"In today's stream, Prakash and I will discuss the greatest question that every self-taught developer is facing - when are you ready to start applying for jobs in the tech industry? 🤔🤔🤔
Where do you draw the line between just learning programming and becoming a junior developer? can you get your first job opportunity without academic credentials? and most importantly - how many projects a solid portfolio should have? what type of projects?

I've invited my friends from GeeksforGeeks to help you answer all these questions and much much more! 
To those of you who are new to programming - GeeksforGeeks is a very popular computer science portal that covers almost any programming language you can think of. They provide well-written tutorials, online courses, interactive exercises and even connect talented developers with potential employers 😱

Make sure to check them out, if you haven't already:😉https://www.geeksforgeeks.org/

Also, do you have an inspiring story of how you got your first job in the tech industry? Do you have some tips for aspiring developers? Please tune in to share your experience in the chat, and who knows? maybe your input will motivate and help many others on their journey 😀

🤝 Connect with Prakash 🤝
--------------------------------------
linkedin.com/in/prakashsakari

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org","['programing', 'programming', 'coding', 'tech', 'techjobs', 'findjobs', 'apply', 'learnprogramming', 'jobsearch', 'technology', 'careers', 'socialnetworking', 'motivation', 'personaldevelopment', 'jobinterviews', 'personalbranding', 'education', 'bestadvice', 'python', 'pythonprogramming', 'softwaredesign', 'networking', 'hiring', 'jobseekers', 'recruiting', 'job']",2022-09-22T04:02:51Z,6341,294,,11,PT58M33S,hd,false
9,gKrRr8T6i08,Python Simplified,RTX 40 Series IS HERE! Specs are INSANE! All Hail Ada Lovelace! #rtx #nvidia #announcement #shorts,,,2022-09-20T19:06:16Z,9868,,,20,PT27S,hd,false
10,uDnm7nlodDk,Python Simplified,Software Design and Development - What I Learned So Far - Exam Practice,"In this stream I will share the (simplified) highlights of one of my favorite computer science courses - SOFTWARE DESIGN AND DEVELOPMENT 🤩🤩🤩
We will talk about a great set of practices that will take your programming skills to the next level! I will also share some free useful resources to get you up to speed.

So in this stream we will see how to reason about software components (such as modules), the strength of relationship between them, what security considerations we should keep in mind and how can we test and analyze our programs.

You can view my slides here: https://pitch.com/public/0746a3ca-e26e-4955-a204-7e15d2fa616b

Also - I'm excited to announce a brand new Discord server that our very own Josh and Badger just opened up! 
Come say Hi at TreehouseClub: https://discord.gg/d9kS5KFq5w
We're having conversations about all the topics in the world! gaming, cooking, design, 3d printing and anything else the floats your boat! see you there 😉

And lastly - will share a proper demo of the Vaporwave It sound and Audio application which won the recent code jam (we had technical difficulties in the last stream). Check out the project repository: https://github.com/audio-mixer/mixer-web 
And the live app: https://vaporwave-it.up.railway.app/

🤝 Connect 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org",,2022-09-05T19:19:53Z,10842,489,,17,PT1H44M6S,hd,false
11,7Iv6MRRdw5E,Python Simplified,this smiling dog will make your day! #shorts #funnydogs #dog #dogs,,,2022-08-27T21:14:52Z,3534,,,15,PT13S,hd,false
12,HjZ2xfRwHGI,Python Simplified,"Code Jam Winners and Social Media Ethics Featuring Badger, Persistent and Tom","You've seen them many times in live-chats, in the comments section and of course in our Discord community! Today you will finally meet them in real-time!!! 😃
Very excited to introduce you to Badger, Persistent and Tom representing my AMAZING team of mods! (Splaud is busy and Siam's microphone makes him sound like an alien 👽 but we'll make sure they join us in future streams)

We have 2 VERY IMPORTANT MISSIONS TODAY -
⭐ Announcing the winning team of our Sound and Audio Code Jam
⭐ Discussing the mess behind the Twitter deal, the recent whistleblower testimony and what it means in terms of the number of bots on the platform.

If you'd like to see more streams of this kind, please don't forget to like, comment and share as this is the best way to let us know you are enjoying what we do! 😃

 🖇️ SOURCES 🖇️
⭐Simple Music Player: https://github.com/diwacreation3/music
⭐KakaduFM: https://github.com/morgor/KakaduFM
⭐VaporWave It: https://github.com/audio-mixer/mixer-web
⭐Screen Reader: https://github.com/kopa7967/Screen-Reader

 🖇️ NEWS ARTICLE SOURCE 🖇️
https://www.theepochtimes.com/whistleblower-says-twitter-lied-to-musk-about-spam-bots-with-possible-implications-for-trial_4682624.html

🤝 Connect 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org",,2022-08-27T06:43:51Z,3565,163,,5,PT1H9M10S,hd,false
13,EEiqGjCNLRs,Python Simplified,Django QuickStart Web Application for Beginners,"Welcome to the QuickStart guide to Django Applications! 🤩
Where Django is a popular Python-based framework for web development and today we will set it up from scratch!

In this tutorial we will focus on some the main components of websites. We will:
1. Setup a Django development server using Python (01:46)
2. Render an HTML template (05:18)
3. Add some CSS Styling (13:26)
4. And last but not least - JavaScript client side interactions (20:24)

🛑 PLEASE KEEP IN MIND 🛑
-----------------------------------------------
This is a QUICKSTART guide with the sole purpose of connecting all the above components together! By the end of this tutorial you will have your very own template of a basic Django website and you will also learn which files and terms we use for different operations.
Or alternatively, you can just clone my code if you already have some background with Django:
https://github.com/MariyaSha/DjangoQuickstart

In the next few tutorials we will learn how to work with Django databases and templating engine! After we have all the basics covered - we will then move with creating a useful application and even hosting it online.

💻 RELATED TUTORIALS OF MINE 💻
--------------------------------------------------------------
⭐ Anaconda for Beginners:
      https://youtu.be/MUZtVEDKXsk
⭐ Flask Hello World Web App for Beginners:
      https://youtu.be/6plVs_ytIH8
⭐ Simple Calculator Web App with Anvil:
      https://youtu.be/NiQdsK3H57Y
⭐ Advanced Web App with Flask and SQLite:
      https://youtu.be/v3CSQkPJtAc

⏰ TIME STAMPS ⏰
-----------------------------------------------
00:00 - intro
00:45 - install Django
01:46 - create Django project
03:04 - run Django server
03:56 - customize port number
04:37 - create Django app
05:18 - create an HTML template
06:31 - setup a templates directory
07:46 - working with views
09:19 - working with routes
13:26 - create a CSS stylesheet
14:56 - setup a static directory
15:59 - HTML file structure
17:50 - link stylesheet with templating engine
20:24 - setup JavaScript
21:18 - link JavaScript with templating engine
22:34 - thanks for watching!

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

💳 Credits 💳
----------------------
⭐ Beautiful animated graphics by:
       mixkit.co",,2022-08-24T15:34:55Z,27251,1389,,156,PT23M11S,hd,true
14,Xa9qIp6JCMI,Python Simplified,String Data Type - Python for Beginners - Lesson 2 #python #shorts #data #programming  #coding,,,2022-08-19T15:30:06Z,9866,,,18,PT53S,hd,false
15,SDVyGPDYgDE,Python Simplified,Basic Data Types - Python for beginners - Lesson 1 #python  #shorts #programming #coding #data,,,2022-08-16T14:30:10Z,8422,,,17,PT34S,hd,false
16,Otr6BW-uKFs,Python Simplified,Zip Vs Range - Which is Faster? Benchmarking YOUR code suggestions too!,"In my recent Dictionary Comprehension tutorial, I've asked you which of the two approaches you think is faster - zip or range? today we will empirically measure the speed of both algorithms within for loops and within comprehensions.
In addition, I've collected a few of YOUR code examples from the comment section (which is even more exciting to benchmark 😉)
Checkout my recent tutorial here for more information:
⭐ Dictionary Comprehension:
       https://youtu.be/khCzymLy_QE

For this stream, I'm borrowing Badger's benchmarking code. You can find it on Github and use it on your own functions 😀:
https://gist.github.com/JBraunsmaJr/c79d096626b84517fa29f817da39df58

Originally Badger's code was meant to check whether LIST comprehensions are faster than for loops and under which condition. It came up in the viewer comments of another recent tutorial:
⭐ List Comprehension:
https://youtu.be/SNq4C988FjU

In other words - this stream will introduce us to advanced concepts of analyzing algorithms and their running time. So it's not about just making things work, but making them work efficiently! 💪💪💪

Also, I figured out what to do with shorts! Will tell you all about it in this stream! See you soon! 😍

🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org","['zip', 'range', 'python', 'python programming', 'coding', 'learnpython', 'faker', 'random', 'dictionary comprehension', 'for loop', 'list comprehension', 'algorithms', 'algorithms and data structures', 'ads']",2022-08-12T21:27:36Z,8822,382,,12,PT2H52M7S,hd,false
17,vNwQTzM2l_c,Python Simplified,Utilizing my spouse and Milly to help me film shorts... zero improvement though 😅😅😅,,,2022-08-10T19:55:56Z,7669,258,,30,PT30S,hd,false
