video_id,comments
sHqNiID4VY0,"['That proposal of yours actually reinforces one of the major problems that came upon society recently, the phenomenon of echo-chambers, where recommendation algorithms try to keep people connected the longest no matter what, with the devastating effect of recommending only what it knows the person will like and engage with, regardless of truth and the sense of humanity and in favor of sensationalism and radicalization. Because of that, people are gathering in darker and darker corners of the internet where they meet improbable like-minded people and they radicalize each other, ultimately ripping the fabric of society, as is happening.\n\nNow imagine a tailored AI that will be always convenient to your self-esteem, will never challenge your mind but help you find basis for literally whatever you were thinking in your angry stubborn teenage (already under the influence of god knows what), and that will be extrapolated in literally all existing directions (one for each individual) with the intellectual help of an all-knowing but convenience-trimmed super AI. That is hell if you understand me!\n\nThat is the end of truth and the utter collapse of society in chaos, where no one understands each other and is always right in his own little individual universe.', 'This sounds like the beginning of The Matrix or Terminator. All bad. Even though I detest Musk and Zuckerberg, they were right about being afraid of AI. It is going to bite us all in the collective ass. Just wait. People can make any comparison or analogy to some other advent of human invention and how it improved our lives through progress and disruption BUT (and this is the important part) transitioning from candles to oil lamps to electricity never posed the same threat as AI. The more you feed data to these things, the more likely they are to outpace us and inevitably cause our demise. Programs don\'t need sleep, or food or time to relax. Humans do. While humans carry out their human tasks, the AI will be learning to hack systems, control drones and fuck knows what else. It isn\'t going to take long for the AI to realize that we are not good stewards or caretakers of this planet and they would be better suited to making ALL the decisions for humanity. People could say that I am being paranoid but the whole concept of ""a ghost in the machine"" is not a fairy tale, it has been observed. Facebook (before all this Metaverse crap) went public about the 2 AI\'s they had interacting that went totally rogue and created their own language to talk to each other. Without any prompting. They were both shut down because it scared people. And it should. \n\nStep back and just look at the whole picture. The Earth is warming at an alarming rate, computers are now creating their own languages, instantly able to access all of the information available on the internet, remotely access infrastructure mainframes, drones...soon the planet will be teetering on uninhabitability, while the AI\'s will only be getting smarter, more efficient and completely impervious to what will ultimately cause our destruction. (Extreme temperatures, depleting oxygen, dwindling sources of fresh water etc.) Pandora\'s box has been opened. \n\nThe sad part is that I can see the writing on the wall and current techies/programmers/developers are going to accelerate this process out of the fear that they are becoming obsolete and will no longer be grossly overpaid. Sorry to be the harbinger of doom but I call it like I see it and it doesn\'t look good.', ""I find the logic a bit crazy that the suggestion is to not use AI because it is a threat to developer's futures, if relied upon, but developers should work on the thing that will ultimately be their doom.  It is sort of like saying, guns dangerous, don't own guns, instead, manufacture guns."", 'Thank you for this.', 'Thank you', 'Awesome idea 💯', ""I love how she completely changed her mind on chatGPT, but doing this way you'll have to use API and build your own model from gpt-3"", 'Hii!!! Your videos are a great help. Can you make a program where commands can be sent to an external device via a ethernet cable and how the same can be interfaced to an existing gui. \n\nKeep posting more', ""I follow a lot of your videos,(great job)  but I don't think that the industry is as bad as your blog made it sound!  After completing my Data Science Masters, the rhetoric surrounding the inevitable end of the DS field has been non-stop. I envision these AI products  becoming a 5th Generation programming environment.  I'm sure as this field progresses it will trim down some jobs, but new one's will come.  ChatGBT is very way to open ended and from my job experience, corporations will wrangle control back to employees to prevent its misuse.  Keep the faith!"", ""It works assuming that everyone agrees to do it that way. Reality will be to save companies money regardless of what happens to anyone's jobs. That goes on all levels, including any smug boss. Guess what, we don't need your service anymore. AI does it, kthxbye.""]"
jIZWlmGPpWA,"['Did they stop making light bulbs to save the jobs of candlemakers?', ""It's too late. \nThe concept has been proven, and the hardware & software requirements have been shown to be do-able, although slightly expensive.\nWe cannot block this technology."", 'Elon trusted them', ""i steped in this video accidentaly and my oppinion is that developers will always be needed since every AI has several developers behind it to develop it even if reach a point that AI can update it self then developers will be in this industrie apsolute but there will always some kind of development being done. So in conclusion in my opinion you don't have to change field you have to specialise ur skills. (also sorry  for my bad english and spelling, english is not my 1st even 2nd lang)"", 'Ethereum is supposed to give you cycles, which can be used for transformations by a cloud service or AI tool, or the like.', ""If you don't accept this technology, you'll be mercilessly left behind. Good luck."", 'You will still need system analysts and people who understand code to coordinate ChatGBT. This cuts the cost of supply. The result will be an increase in demand. More projects. More people. ChatGBT is not intuitive so not creative. ChaGBT is a highly sophisticated toy doll. It lacks a ""heart"". It has no intention. You need emotion for that.', 'I\'ve been diving into this discussion for many years. I don\'t have an easy solution for the individual who gets replaced on his job by a machine and is desperate because he has immediate problems and needs an immediate solution. But competition under capitalism has made that same problem happen widespread since always and we\'ve been all taught that this is not a flaw of the system, but an expected feature that even has a bright virtuous side to it, ultimately pushing the progress (and that these people should and will find another job where they\'ll be more productive).\n\nI wouldn\'t worry about the mass loss of jobs because in actuality capitalism is always creating new, redundant, superfluous jobs for everyone. These jobs are getting so insanely abstract in their purpose that people blindly lost track of what the world would be like without it (if they were even ever necessary at all).\n\nThe dystopian future is not one in which all people get unemployed, but one in which everybody is wasting a lifetime getting a living from a job (the irony!). Who nowadays cares to ask if a job is truly purposeful? So long it provides money for a living, right? If you only long for a job in a techno future and nothing else, then don\'t worry, one day the machines will be literally doing everything useful in the world to keep us going while humans will be employed full time sending emails one to another. This is really trending right now.\n\nBut if, like me, you dare to rethink those old grumpy thoughts about that kind of meaning in life, work for a living and free market, then your worries are in the opposite place from those of losing your job: what the heck is going on, that people still worship jobs, market and money? Shouldn\'t we move along those things already instead? The world is changing profoundly. Why do you still think you need so hard to live under these post-medieval institutions?\n\nThe only thing that is constant along the History is change. If revolutions fatally happen from time to time, then it\'s about time we had a big one, not to try and stop technology, but to welcome it and dump those old institutions instead (jobs, market, money, competition).\n\nThe true freedom is not what you will decide in common agreement with others and exchange in the market, but bypass these things completely, because if machines work on our behalf, both you and the others have already plenty of whatever you\'d be trading for, and life is welcoming to that, although the trading thing has become obsolete. This is a paradigm-changing post-scarcity new reality, where offer and demand were overriden by automation and abundance, people are more free than ever, money itself lost its purpose altogether and we no more draw meaning in life from work, but from leisure and from self-achievement, like the spontaneous seek for knowledge.\n\nJobs are for machines.\n\nBut... are you ready to challenge those old grumpy ideals? Are you sure you want a job so badly when machines are abundant? If so, you can always be employed at some kind of life-draining drudgery in order to, at the end of the month, deserve some earnings in fancy-printed paper (or virtual tokens for that matter), and I don\'t think that new legislation will ever take that away from you if you want that so badly. But if you\'re up to revolution, change of mindset and true freedom, it\'s time to challenge those old institutions and dare to embrace communism (the horror! the forbidden concept!... or is it?).\n\nA post-scarcity mindset is necessary to fit in a world with AI revolution. It\'s already knocking on the door, and it\'s going to be a crazy ride starting now and all along these next 20 years. Will you embrace post-scarcity or freak out because an accessible machine is better at your job? Will you shove people off because they\'re lazy and willingless to work, or will you accept that UBI free money from the government yourself and go find fulfillness somewhere else than at work? Will you go pirate and stand for it or will you try and stop the abundance that the internet brought along in favor of big companies\' paywalls, intellectual property and patents? Will you celebrate abundance when it\'s inevitable or will you be hyped that capitalism invented a way to try to keep itself relevant in abundance-killing NFTs? Is the government still a force trying to balance out the flaws of capitalism while the capitalism drives progress, or the table has flipped and capitalism now is using the government to try to keep itself relevant while you enthusiastically vote in favor of it because you\'re told you\'ll die jobless if you don\'t? Do you stand promptly for free market or do you see the contradiction between the words ""free"" and ""market"" now that the world is going post-scarcity?', 'The idea with AI is to reach and transition to a post -scarcity society.. So people can devote all of their time to leisure activities.. I mean who the hell wants to work in order to obtain money in order to survive?  Work has become a culture but if you have the choice between work and leisure, well i know which i would choose. As for if we are losing the battle or the war, the war is not with AI, the war is with those people who want to harness the power of AI all for themselves and dominate over everyone else.', 'So.. the problem is this capitalist system where you need to pay for food. But people will allways prefer to work for cash.']"
9utmI959cBo,"['Ok', 'Pal 😀', 'uwuu', 'The cat and her cat..', 'also i love ur cat', ""Of course, being a cat, he can't stand that the mouse gets more attention."", '🐈🐈🐈😍😍😍', 'Very Nice 😊', 'Beautiful cat! Struggle is real. Thanks for the content', 'Cute 🤗']"
Df599JpxHBY,"['Vote now: 🤩🤩🤩\nhttps://www.youtube.com/post/UgkxECAls4LZMeoulxk_Vm2YAwtCkRbHYzYC\n(community post link)', 'Thanks for tutorial python 😊😊😊😊', 'Maybe you are not Chatgpt but nuance is that your answers are more cute.', 'Indeed all the way, great content; thanks', '❤️', 'Hi Sensei!', 'Do a pynecone tutorial', 'Vote', 'Love your content! You dont put me to sleep lol', 'Hello María, I prefer Amazon product.']"
p3tSLatmGvU,"[""Hih, this is a tad too advanced info for me but oh my gosh how much I CANNOT WAIT to use this tutorial in real life!!! 😍 Thank you, Mariya! 😍 I'm only half way through but I'll finish watching the tutorial now just to see how much I understand already. Comparing oneself to the past versions of oneself is the best way too see the progress! Keep it up everyone!! 😁😁👍\n\nAnd Mariya, please keep up the amazing work! Our support for you is an infinite loop after clicking 'run'! 👾🎵🥳"", 'Nice tutorial.', 'She is way too pretty to be so smart ', 'Thanks a lot,  please can you convert kivymd app just using this setup', 'Imagine trying to make actual programs in Python.', '😍', 'great video Mariya, I created the setup.exe worked perfectly on window 10/11 but tried it on a windows 7 machine and run into issues??? something about DLL files missing?? any idea how to fix this??', 'А не говорите ли вы по русски? 😎 очень уж произношение знакомое', 'Hi Mariya, you have wonderful channel with lot of knolage,\nall the gui app (tkinter) was build by one pythone file , can you add one movie to show how to split it to some python files to split it for example: one file for the declear and app.mainloop, one for the gui building and one for the methods and functions', 'Wow this is so awesome! Thanks for sharing!']"
dRitto6VLa0,"['Tutorial is now up and ready! Check it out here 😉: https://youtu.be/p3tSLatmGvU', 'just for Window$?', 'Ok I need to block yt for myself. This girl is crazy good-looking, and I am just replaying her videos whole day...', 'nice', 'in next video use database please....', 'like like like my techer', 'Nice!!', 'how to learn easy setups phyton scraping videos', 'I just realized your name ryams with idea, and you have alot of good ones 🙂', 'pls teach R Programming mAm']"
BgyUJk0U49I,"['😳 𝕡𝐫ｏ𝕄ｏ𝔰𝓶', 'You are sweet!', 'Wow india', 'Your teaching is unique 👌', 'Mariyaa!!!! How r you?? 😁😁', ""Hi Mariya! I'm a long term Python user, and I really like your channel and tutorials. However, I find the new scrolling bar at bottom of screen distracting from your great content. Thanks."", 'Masha I am glad I can listen to your well designed tutorials, I ve just learned Python and you are my new light to follow. When I ll be in Canada would be nice to go for a coffee and get married =)', 'Hi Mam, Can you make separate video for Decorator, Closuer and Constructor in Python', 'Very interesting ! Thank you so much !!!', 'What do you think about Flet? Could you do a series of tutorials about it?']"
axpMAsLXwRo,"['Beautiful place to live !!', ""Thanks for sharing! I'm a HUGE lover of the outdoors, and know the great feeling being in wide open beautiful places! Hope you are having an awesome day!"", 'Perfect!', 'Place where Mariya lives is just wow ❤️', ""I want to go do slopes with you. Ya, look so hot and snuggly in your winter gear. It looks really pretty there. Oh, Ya by the way you please exit out of this B.S. conversion going on. I am not going to have you ruin Our chance. This is our world, not someone's world to tell us what to do in."", 'What a beautiful Python landscape 🥰😂', 'Enjoy!!\nWhere is this beautiful place?😍', 'I heard that Canada is so boring...🙄', 'lake tahoe?', 'Wishing you happy time']"
aSeqMYNhEHo,"['Unfortunately, useless feature. Elon musk bans all the more or less popular bots. Cleaning is live for a few days. I would recommend to switch the platform.', 'Why not find By.ID?', 'i have this problem\nselenium.common.exceptions.NoSuchElementException: Message: no such element: Unable to locate element: {""method"":""tag name"",""selector"":""input""}', ""This was the first video of yours I've watched, and it is excellent.  Tutorial videos are not easy, but you seem to do it with confidence and are very knowledgeable about the content.  What I really love, is you take an idea of creating a simple bot, and as a viewer I'm learning so much more than that (using a web driver, selecting elements, etc).  I'm still a beginner with Python, but your videos give me some great ideas for some of my own coding, thank you."", 'Is there a specific reason for choosing Bulgaria as the account location ? :D', ""Thanks for teaching\nat my click Next button after type usename, this error coming, can you teach me ?\nTypeError: 'WebElement' object is not subscriptable"", 'hey angel  .... why u r so cute', 'so, are you telling me that all the hot asian girls that follow me on twitter and offer me amazing crypto deals are not real?? xD amazing tutorial, thanks!', ""I posted a comment with the bot OMG!! SO FUNNY!!.... a content where someone's dog died"", 'what a set up lol extreme']"
JPsKABP7r9w,"['Tutorial is premiering soon!! 😀\nhttps://youtu.be/aSeqMYNhEHo', 'Lmao 😂', 'When I hear: ""Good news!"", I am mentally ready as part of the ""Planet Express"" to go to a new planet to deliver a package)))', 'i like you sooooo much you are very perfect programmer', 'all hope is gone =)', 'You are so fabulous 🥰 you have such a great personality and style! I love your videos and your intellect. I am a student and enjoy watching your videos as a supplement to my curriculum. Thank you for your hard work!!', ""Hahaha\nYou haven't seen my bots"", 'Шикарная дикция)', 'Bots? LOL how far we have come', '@elon Come to the rescue! 😂']"
