video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
sHqNiID4VY0,Python Simplified,DON'T USE AI - MAKE AI! A Bright Future Where We Are Indispensable and ChatGPT is Unemployed,"Folks, the future of our industry is a million times better than I imagined!!!
It's embedded in our purpose - we are not users! we are makers! 
So why would anybody use a pre-made AI model such as ChatGPT when we are perfectly capable of designing a much better model on our own? 🤔
Imagine a future where each of us makes our very own custom AI model, unique and tailored to our needs - not to the needs of a company with millions of users with millions of different problems which in most cases are irrelevant to us.

Our creation will reflect our personal qualities, skills, interests, and yes - even our biases. Our models will carry our features and since we are different from one another - our models will be different too. This is how we can keep the balance and become INDISPENSABLE.

INDISPENSABLE = NO ONE WILL EVER BE ABLE TO REPLACE US WITH ANYTHING! 
Your employer can have ChatGPT and use it as they wish - but they will never be able to replicate the much more powerful proprietary model that only you possess. 
Why? because rather than a model that knows a little bit about everything - our creation will know everything about a little bit. It will be specific to the type of tasks we decide on. An enhanced version of ourselves that no one but us can access.

A system that is made with such a large variety of unique components - can never be centralized. Our models will run wild and free just like our imagination.

My task is to provide you with a template of such a model and then you'll need to customize it as you wish. You'll decide on the type of components your model will have, the type of data it will learn, the type of algorithms, and all the fine details. I will explain each line of code and concept in great detail until you have all the tools to start your own AI journey with full confidence.

Do you already possess a special set of skills in the realm of AI or deep learning? Do you want to help me? Please connect with me either here in the comments or find my full contact information below.

Please note, this video is a follow-up to the:
⭐ My Previous ChatGPT Vlog:
       https://youtu.be/jIZWlmGPpWA
Where I brought up some potential issues that may arise in our industry given the extensive use of pre-made models, free of charge and available to all.
I want to ❤️THANK YOU ❤️ for taking the time to share your perspective, arguments, visions of the future, and possible solutions! 
I have never received so many comments on anything in my life! and I would have never come up with this idea if it wasn't for your input! 
Our little YouTube community has started a pivotal discussion that many have ignored and it showcased that our greatest strength is in the variety of points of view. No comment was similar to another, and no testimony was repeating somebody else's words. We're unique but not alone, there are millions who agree with us and millions who disagree, and even so - no one is just quite like us.
Together, we make an unstoppable, singular but decentralized system and as long as we remember that - we will always prevail 💪💪💪
Thank you so much again for taking the time to prove me right or prove me wrong. And as with everything, I was a bit of both.

🤖 Would you like to start learning AI? 🤖
-------------------------------------------------------------------
You're not sure if it will work for you? checkout my quick introduction to Neural Networks and see if you find it interesting:
⭐ Neural Network Simply Explained - ML for Beginners:
      https://youtu.be/i1AqHG4k8mE

Did you find it interesting? checkout some free courses below and combine them with my AI Simplified playlist as a supplement
-----------------------------------------------------------------------------
 ⭐⭐⭐ MY AI SIMPLIFIED PLAYLIST ⭐⭐⭐
------------------------------------------------------------------------------
https://youtube.com/playlist?list=PLqXS1b2lRpYTpUIEu3oxfhhTuBXmMPppA

-----------------------------------------
💰 FREE AI COURSES 💰
-----------------------------------------
⭐ Intro to AI:
       https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
⭐ Intro to Deep Learning with PyTorch:
       https://www.udacity.com/course/deep-learning-pytorch--ud188

-------------------------------------------
🤝 Connect with me 🤝
-------------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

-------------------------------------------
💳 Credits 💳
-------------------------------------------
⭐ Beautiful titles, transitions, sound FX, and music:
       mixkit.co
⭐ Beautiful icons:
      flaticon.com
⭐ Beautiful graphics:
      freepik.com",,2023-02-13T17:25:34Z,14330,1540,,296,PT5M39S,hd,true
jIZWlmGPpWA,Python Simplified,My Thoughts On ChatGPT - PULL THE PLUG BEFORE IT LAYS EGGS!!!,"🛑Good News!! I found a solution!!! 🛑
Please check out my follow-up vlog that will really improve your mood! 😀: https://youtu.be/sHqNiID4VY0

In this video, I will share why I haven't been filming any ChatGPT tutorials.
I've seen your comments and requests, and I know you're looking forward to seeing my take. However, there's something very important that my tech content creator colleagues seem to ignore when it comes to this highly sophisticated AI model. 
Sure, it's so trendy and popular that even the most useless of tutorials will bring millions of viewers your way. It's very tempting, and I don't judge you if you seized the opportunity... I have almost done it too! But I can't help but feel there's something terribly wrong with it and I must share my reasoning with you.

I'm not scared of new technology, this channel is 100% Artificial Intelligence friendly, and frankly - AI and Machine Learning are the reasons why I've started learning Python! (If you view this channel for quite some time - you already know that 😉)
My appreciation of AI, however, doesn't prevent me from recognizing its negative aspects or admitting that they exist in the first place. This is the perfect time to have a conversation about what the future may bring and how well we are adapted to it. 
hint: if ChatGPT codes better than you - you need to catch up and surpass it fast!!!

So please let me know in the comment below if you agree or disagree because either way - we must have a valuable discussion before we promote irreversible changes to our industry. 
Peace and love, my friends! ✌️😻

-------------------------------------------
🤝 Connect with me 🤝
-------------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

-------------------------------------------
💳 Credits 💳
-------------------------------------------
⭐ Beautiful titles, transitions, sound FX, and music:
       mixkit.co
⭐ Beautiful icons:
      flaticon.com
⭐ Beautiful graphics:
      www.freepik.com",,2023-02-07T18:06:29Z,39970,2740,,1186,PT12M29S,hd,true
9utmI959cBo,Python Simplified,You are only as productive as your cat allows #shorts #cat #funny,,,2023-02-06T17:30:46Z,2639,246,,19,PT31S,hd,false
Df599JpxHBY,Python Simplified,Vote now!!! upcoming tutorial poll‼️ #shorts #data #python,,,2023-01-31T19:50:31Z,7211,616,,27,PT36S,hd,false
p3tSLatmGvU,Python Simplified,Convert GUI App to Real Program -  Python to exe to setup wizard,"You've just made a beautiful GUI app with Python - but there's a big difference between creating an app for your personal use and distributing it all across the web, reaching many people who don't necessarily know anything about Python. 
In this tutorial, I will show you exactly how to convert your Tkinter, Kivy, KivyMD, PyQT5, or other GUIs into a full-blown professional program! 🤩🤩🤩
The end result is a 😱 SINGLE SETUP FILE 😱 which anyone can download and install on their computer - even your grandmom!!! 👵
We will use Pyinstaller to create an executable file and Inno Setup to bundle it with dependencies and convert them into a setup wizard. 
In addition, we will discuss some common errors, how to fix them and how to avoid irrelevant instructions (hint: do we really need to modify the SPEC file? 🤔)
We will briefly tackle licensing (open source, as you may guess 😉), and generating icons.
Please note, this video is designed for Windows developers and users! However, I will cover Linux and Mac as well in some future tutorials... the Mac tutorial is of course inspired by Tom! XDD (but only members of our Discord community will understand the joke, this is how I test if they read video descriptions 😅) 

-------------------------------------------
⏰ Time Stamps ⏰
-------------------------------------------
00:00 - intro
00:40 - project files and database
01:31 - download Random Recipe Picker (or use your own Python app)
03:29 - install requirements.txt
03:46 - Pyinstaller vs auto-py-to-exe
04:25 - run Pytinstaller builder
05:22 - prep GUI script for Pyinstaller
05:56 - resource path (and important sys._MEIPASS fix!)
08:18 - SPEC file
09:20 - generate software icons
10:04 - convert script and assets to exe file
11:22 - fix Pyinstaller File Not Found Error
12:48 - test executable
13:36 - install Inno Setup
14:17 - convert exe and assets into a setup file
16:39 - license
20:00 - add subdirectories to Inno Setup compilable 
21:56 - test setup file on another PC
22:57 - thanks for watching! :)

-------------------------------------------
📽️ Important Tutorials 📽️
-------------------------------------------
⭐ Create GUI App with SQLite and Tkinter (Random Recipe Picker):
       https://youtu.be/5qOnzF7RsNA
⭐ Anaconda for Beginners:
       https://youtu.be/MUZtVEDKXsk
⭐ Convert .py to .exe with auto-py-to-exe:
       https://youtu.be/Y0HN9tdLuJo

-------------------------------------------
💻 VENV Alternative 💻
-------------------------------------------
$ python3 -m venv name_of_my_env
$ source name_of_my_env/bin/activate

-------------------------------------------
 🖇️ Tutorial Links 🖇️
-------------------------------------------
🔗  Random Recipe Picker Repository: https://github.com/MariyaSha/RandomRecipePicker
🔗  Resource Path Function (Stack Overflow): https://stackoverflow.com/questions/31836104/pyinstaller-and-onefile-how-to-include-an-image-in-the-exe-file
🔗  PNG to ICO Icon Converter: https://image.online-convert.com/convert-to-ico
🔗  Inno Setup: https://jrsoftware.org/isinfo.php
🔗  Open Source Initiative MIT License: https://opensource.org/licenses/MIT

-------------------------------------------
🤝 Connect with me 🤝
-------------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

-------------------------------------------
💳 Credits 💳
-------------------------------------------
⭐ Beautiful titles, transitions, sound FX, and music:
       mixkit.co
⭐ Beautiful icons:
      flaticon.com",,2023-01-27T15:00:40Z,74655,2794,,218,PT23M27S,hd,true
dRitto6VLa0,Python Simplified,GUI App to Professional Software Upcoming Tutorial #shorts,,,2023-01-23T18:30:20Z,10095,964,,80,PT31S,hd,false
BgyUJk0U49I,Python Simplified,Software Prototype - Can You Help Me Test it?,"It's been a while, folks! and I am (almost) back! will catch up with your comments shortly! 😁😁😁
I have 3 more days to finish a university midterm report and then Python Simplified is back in full gear! 🦾🦾🦾
The reason why I'm streaming today is to see if you can help me test a prototype of a really cool software that was designed as part of UoL's Agile Software Development module.
Your feedback (which basically consists of a very short survey of 5 questions) will be evaluated and submitted anonymously along with my midterm paper.

If you're curious - the midterm paper focuses on something called ""deliverable components"" (which is just fancy words for a formal software proposition). 
The main point is - before we even write a single line of code - we must develop a well-defined plan! this plan includes market research, defining stakeholders, setting requirements, prototyping and of course user testing (which I am hoping you can help me with! ;)

Here's a public link to my interactive prototype on Figma (make sure to click on the purple chrome extension icon with the ""A"" on it to display the UI of the software - I will demonstrate exactly how to interact with the prototype at beginning of the stream 😉).
https://www.figma.com/proto/MdSRCMTTxuGLShvdvrG18Z/Automator_V1?node-id=1%3A9&scaling=min-zoom&page-id=0%3A1&starting-point-node-id=1%3A9

Once you have reviewed everything, please fill up this super quick form (I'm not even collecting names or emails - just your honest opinion):
https://forms.gle/eBVkDPy9QAZsmXh39

Now please keep in mind that this is a group project and this prototype was created as part of a teamwork experience. I am presenting it, but other folks are also involved in developing the idea behind this software.

--------------------------------------
🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

--------------------------------------------
💳 Credits 💳
--------------------------------------------
⭐ Beautiful icon by:
       flaticon.com",,2023-01-06T21:27:00Z,7204,367,,29,PT2H6M34S,hd,false
axpMAsLXwRo,Python Simplified,Winter Fairytale Mountain View #nature #shorts,,,2022-12-21T20:26:11Z,4486,312,,24,PT29S,hd,false
aSeqMYNhEHo,Python Simplified,The Ultimate Guide to Selenium Bots - Automating Twitter,"In this video we will explore the art of bot making for the purpose of understanding how it's being used against us 🤖🤖🤖
We will create a simple retweeting bot that searches for posts that contain a certain keyword like: ""cat"" or ""dog"" and then retweets selected posts with a quoted message.
The code and the lesson-flow I will demonstrate does not contain any unethical practices: we use a single account and we automate it for harmless purposes. However the techniques you will learn can be applied on different use cases ☢️☢️ so PLEASE use this information responsibly!!! ☢️☢️

-----------------------------------------------------------------
⭐ THANK YOU TO THE SPONSORS ⭐
-----------------------------------------------------------------
This video is brought to you by Bright Data, an innovative web platform that collects and structured web data so that you don't have to!
⭐⭐⭐ Check them out right now: https://brightdata.grsm.io/pythonsimplified

-----------------------------------------------------------------
🎬 RELATED TUTORIALS OF MINE 🎬
-----------------------------------------------------------------
⭐ Anaconda Beginners Guide (Install  Python):
       https://youtu.be/MUZtVEDKXsk
⭐ Simple Web App with Flask (HTML introduction):
       https://youtu.be/6plVs_ytIH8
⭐ Advanced Web App with Flask (HTML introduction):
      https://youtu.be/v3CSQkPJtAc
⭐ Python For Loops for Beginners:
      https://youtu.be/dHANJ4l6fwA

-----------------------------------------------------------------
⏰ TIME STAMPS ⏰
-----------------------------------------------------------------
00:00 - intro
00:52 - what is a bot?
02:25 - dummy account
03:25 - web driver set up
04:37 - Selenium set up
05:25 - Jupyter Notebook set up
06:17 - initialize web driver object
07:38 - fix Session Not Created Exception
09:24 - quick introduction to HTML (1 sentence)
09:47 - find element by tag name
11:04 - Developer Tools and how to use it
12:46 - find elements by XPATH
14:12 - why Jupyter Notebook is the best editor for automation
14:30 - continue log in automation
16:26 - search keyword shortcut
17:46 - retweet automation
19:23 - quote tweet automation
20:44 - find elements that contain certain data
24:24 - pause code execution with time.sleep()
25:22 - combine all notebook cells and review code
28:13 - BrightData
29:30 - retweet multiple tweets at once
30:50 - scroll to the bottom of the page (to fetch a new batch of tweets)
32:03 - randomly select a quote message from a pre-defined list
33:52 - fix Element Click Intercepted Exception
35:36 - run bot with full automation
36:14 - your thoughts on the ethics of bot making
37:07 - thanks for watching! :)

-----------------------------------------------------------------
🤖 COMPLETE CODE ON GITHUB 🤖
-----------------------------------------------------------------
https://github.com/MariyaSha/TwitterBot

-----------------------------------------------------------------
💻 IMPORT COMMANDS 💻
-----------------------------------------------------------------
from selenium import webdriver
from selenium.webdriver.common.by import By

---------------------------------------------------------------------------------
🕸️ WEB DRIVERS FOR DIFFERENT BROWSERS 🕸️
---------------------------------------------------------------------------------
⭐ Chrome: 
      https://chromedriver.chromium.org/downloads
⭐ Firefox: 
      https://github.com/mozilla/geckodriver/releases
⭐ Edge:
      https://developer.microsoft.com/en-us/microsoft-edge/tools/webdriver/

--------------------------------------
🤝 Connect with me 🤝
--------------------------------------
🔗 Github: 
       https://github.com/mariyasha
🔗 Discord: 
       https://discord.com/invite/wgTTmsWmXA
🔗 LinkedIn: 
       https://ca.linkedin.com/in/mariyasha888
🔗 Twitter: 
       https://twitter.com/mariyasha888
🔗 Blog: 
       https://www.pythonsimplified.org

--------------------------------------------
💳 Credits 💳
--------------------------------------------
⭐ Beautiful animated graphics by:
       mixkit.co
⭐ Beautiful icons by:
       flaticon.com
⭐ Beautiful images by:
       https://www.freepik.com/",,2022-12-20T16:00:10Z,18240,780,,142,PT37M28S,hd,true
JPsKABP7r9w,Python Simplified,All Twitter Bots are Gone. EXCEPT FOR MINE!!! Tutorial Tomorrow! 🤖🤖🤖 #shorts #python,,,2022-12-19T21:04:56Z,12570,765,,48,PT30S,hd,false
